date,sport,home_team,away_team,market,side,line,sportsbook,odds_decimal,odds_american,win_prob,ev_percent,kelly_stake
2025-07-03 05:46 PM CT,MLB,Washington Nationals,Detroit Tigers,Moneyline,Home,,Draftkings,2.18,118,0.4944,7.779999999999999,1.65
2025-07-03 05:46 PM CT,MLB,Washington Nationals,Detroit Tigers,Moneyline,Home,,Fanduel,2.22,122,0.4944,9.76,2.0
2025-07-03 05:46 PM CT,MLB,Washington Nationals,Detroit Tigers,Moneyline,Home,,Espnbet,2.25,125,0.4944,11.24,2.25
2025-07-03 05:46 PM CT,MLB,Washington Nationals,Detroit Tigers,Spread,Away,(-1.5,Draftkings,2.08,108,0.5011,4.2299999999999995,0.98
2025-07-03 05:46 PM CT,MLB,Washington Nationals,Detroit Tigers,Spread,Away,(-1.5,Fanduel,2.08,108,0.5011,4.2299999999999995,0.98
2025-07-03 05:46 PM CT,MLB,Washington Nationals,Detroit Tigers,Spread,Away,(-1.5,Espnbet,2.15,115,0.5011,7.739999999999999,1.68
2025-07-03 06:08 PM CT,MLB,Toronto Blue Jays,New York Yankees,Moneyline,Home,,Draftkings,2.08,108,0.4965,3.27,0.76
2025-07-03 06:08 PM CT,MLB,Toronto Blue Jays,New York Yankees,Moneyline,Home,,Fanduel,2.12,112,0.4965,5.26,1.17
2025-07-03 06:08 PM CT,MLB,Toronto Blue Jays,New York Yankees,Moneyline,Home,,Espnbet,2.1,110,0.4965,4.2700000000000005,0.97
2025-07-03 06:08 PM CT,MLB,Toronto Blue Jays,New York Yankees,Spread,Away,(-1.5,Draftkings,2.23,123,0.4894,9.139999999999999,1.86
2025-07-03 06:08 PM CT,MLB,Toronto Blue Jays,New York Yankees,Spread,Away,(-1.5,Fanduel,2.26,126,0.4894,10.6,2.1
2025-07-03 06:08 PM CT,MLB,Toronto Blue Jays,New York Yankees,Spread,Away,(-1.5,Espnbet,2.25,125,0.4894,10.12,2.02
2025-07-03 06:11 PM CT,MLB,New York Mets,Milwaukee Brewers,Spread,Home,(-1.5,Fanduel,2.28,128,0.4937,12.559999999999999,2.45
2025-07-03 06:16 PM CT,MLB,Atlanta Braves,Los Angeles Angels,Total,Under,(9.0,Draftkings,1.99,-100,0.5193,3.34,0.84
2025-07-03 07:05 PM CT,MLB,Chicago Cubs,Cleveland Guardians,Moneyline,Away,,Draftkings,2.14,114,0.5,7.000000000000001,1.54
2025-07-03 07:05 PM CT,MLB,Chicago Cubs,Cleveland Guardians,Moneyline,Away,,Fanduel,2.18,118,0.5,9.0,1.91
2025-07-03 07:05 PM CT,MLB,Chicago Cubs,Cleveland Guardians,Moneyline,Away,,Espnbet,2.2,120,0.5,10.0,2.08
2025-07-03 08:41 PM CT,MLB,Arizona Diamondbacks,San Francisco Giants,Moneyline,Home,,Fanduel,2.08,108,0.4953,3.02,0.7
